Bundesland,Population,Area,PopulationDensity,BIP,UnemploymentRate,NeighboringCountries
Nordrhein-Westfalen,17865516,34112.31,526,705.1,6.4,Belgien;Niederlande
Bayern,12843514,70541.57,185,625.1,2.7,Österreich;Tschechien
Baden-Württemberg,10879618,35748.22,310,493,3.1,Frankreich;Schweiz
Niedersachsen,7926599,47709.5,168,288,4.8,Niederlande
Hessen,6176172,21115.68,297,292,4.2,
Sachsen,4084851,18449.96,221,121,5,Tschechien;Polen
Rheinland-Pfalz,4052803,19858,206,144,4.2,Luxemburg;Frankreich
Berlin,3520031,891.12,4088,147,8,
Schleswig-Holstein,2858714,15804.3,183,93.4,4.9,Dänemark
Brandenburg,2484826,29654.48,85,69.132,5.4,Polen
Sachsen-Anhalt,2245470,20454.31,108,60.1,6.6,
Thüringen,2170714,16202.37,133,61.91,4.9,
Hamburg,1787408,755.09,2430,117.6,6,
Mecklenburg-Vorpommern,1612362,23294.62,69,42.78,6.7,Polen
Saarland,995597,2571.11,385,35.3,6,Frankreich
Bremen,671489,419.36,1749,34.294,10.2,
